Name;Coordinates
Etterbeek;50.83272, 4.38835
Eisden;50.98463, 5.71433
Egem;51.01531, 3.25853
Diksmuide;51.03248, 2.86384
Deurne;51.03907, 5.09654
Deurle;51.00411, 3.61475
Bunsbeek;50.84172, 4.94522
Brunehault;50.50524, 4.43209
Brugelette;50.59577, 3.85363
Bon-Secours;50.49803, 3.60815
Bonneville;50.4728, 5.03869
Bavikhove;50.87532, 3.31062
Auvelais;50.4504, 4.63228
Aulnois;50.34009, 3.90409
Anseremme;50.23996, 4.89904
Anderlecht;50.83619, 4.31454
Sint-Joris;50.87117, 5.272
Zutendaal;50.93306, 5.5753
Wilderen;50.81548, 5.14229
Wieze;50.97691, 4.07876
Wielsbeke;50.9, 3.36667
Westmeerbeek;51.06127, 4.83835
Ways;50.61108, 4.46448
Walhorn;50.67496, 6.04608
Vroenhoven;50.82614, 5.63995
Strée;50.28078, 4.29394
Sterrebeek;50.86171, 4.49375
Sint-Pieters-Kapelle;50.70758, 3.98999
Sint-Niklaas;51.16509, 4.1437
Sint-Michiels;51.18806, 3.21142
Sint-Martens-Lierde;50.80371, 3.82541
Rulles;49.71805, 5.55959
Ruddervoorde;51.09589, 3.20743
Rongy;50.50724, 3.3895
Roeselare;50.94653, 3.12269
Proven;50.88976, 2.65721
Peer;51.1303, 5.45952
Opoeteren;51.06923, 5.65556
Oostvleteren;50.93319, 2.74119
Oelegem;51.2131, 4.59832
Neerwinden;50.76756, 5.04021
Mélin;50.74004, 4.82883
Meix-devant-Virton;49.60581, 5.48045
Louveigné;50.53015, 5.71547
Lodelinsart;50.43138, 4.44886
Kortessem;50.8589, 5.38974
Koksijde;51.11642, 2.63772
Kallo;51.2525, 4.27546
Jamioulx;50.35296, 4.41281
Hulshout;51.07451, 4.79081
Hingene;51.10345, 4.26904
Heusden;51.03664, 5.28013
Hermalle-sous-Argenteau;50.71231, 5.67753
Hennuyères;50.6386, 4.16935
Gaurain-Ramecroix;50.58923, 3.48798
Franière;50.43657, 4.73219
Everberg;50.87685, 4.56983
Estaimpuis;50.70485, 3.26785
Esneux;50.53596, 5.56775
Elen;51.06643, 5.75126
Edegem;51.15662, 4.44504
Courcelles;50.46379, 4.3747
Châtelet;50.40338, 4.52826
Cerexhe-Heuseux;50.65409, 5.72602
Buggenhout;51.0159, 4.20173
Bressoux;50.63988, 5.60629
Boussu;50.43417, 3.7944
Bierghes;50.69578, 4.1192
Berlare;51.03333, 4.0
Beigem;50.94911, 4.36908
Beaumont;50.23699, 4.23926
Aartrijke;51.11915, 3.09076
Zelzate;51.18963, 3.80777
Wolkrange;49.62882, 5.79877
Winksele;50.8986, 4.64607
Wavre;50.71717, 4.60138
Wachtebeke;51.16852, 3.87183
Vinalmont;50.56329, 5.23155
Thisnes;50.66578, 5.04375
Tellin;50.08038, 5.21638
Sprimont;50.50922, 5.6595
Sint-Genesius-Rode;50.74645, 4.35754
Sint-Amands;51.05645, 4.20957
Scherpenheuvel;50.98075, 4.97552
Schendelbeke;50.79872, 3.89882
Schelle;51.12615, 4.34114
Ressegem;50.89115, 3.91129
Remicourt;50.68069, 5.32785
Reet;51.10201, 4.41264
Ramsdonk;51.015, 4.33522
Ramillies;50.63395, 4.90119
Oostduinkerke;51.11565, 2.68217
Neu-Moresnet;50.71575, 6.02119
Musson;49.55835, 5.70525
Mouscron;50.74497, 3.20639
Meyerode;50.32818, 6.18776
Meulebeke;50.95136, 3.28804
Melsbroek;50.91559, 4.47985
Meerle;51.47235, 4.80316
Marquain;50.60679, 3.32087
Lovendegem;51.10168, 3.61298
Longchamps;50.0534, 5.69032
La Gleize;50.41074, 5.84699
Kachtem;50.93341, 3.19425
Jemappes;50.44914, 3.89096
Hévillers;50.62328, 4.61735
Heusy;50.57457, 5.86618
Herdersem;50.97193, 4.06667
Hekelgem;50.90569, 4.10769
Heinsch;49.69986, 5.7467
Hamipré;49.83734, 5.45686
Grand-Hallet;50.6953, 5.03587
Gelrode;50.96632, 4.80412
Fosse;50.34001, 5.84083
Forges;50.02569, 4.32765
Farciennes;50.43006, 4.54152
Erps-Kwerps;50.90119, 4.55984
Duffel;51.09554, 4.50903
Dottignies;50.73333, 3.3
Dion-le-Mont;50.69653, 4.66657
Denderleeuw;50.88506, 4.07601
Châtelineau;50.41499, 4.52016
Lasne-Chapelle-Saint-Lambert;50.69298, 4.50105
Borgloon;50.80505, 5.34366
Bois-d'Haine;50.5018, 4.21555
Baudour;50.48296, 3.8332
Baarle-Hertog;51.40504, 4.89226
Ayeneux;50.60797, 5.71589
Assebroek;51.19367, 3.2623
Arquennes;50.56765, 4.27341
Andenne;50.48941, 5.09513
Wezembeek-Oppem;50.8395, 4.49427
Wespelaar;50.96081, 4.63984
Vlissegem;51.25531, 3.05604
Vliermaal;50.84069, 5.42862
Terhagen;51.07966, 4.39907
Tamines;50.43378, 4.60713
Stokkem;51.02326, 5.74499
Spy;50.48143, 4.70944
Sint-Maria-Lierde;50.81867, 3.84436
Sint-Joris;51.12663, 3.36524
Sinaai;51.15789, 4.04087
Schoten;51.25251, 4.50268
Schorisse;50.80309, 3.67632
Schellebelle;51.01136, 3.92843
Saint-Gérard;50.34645, 4.74098
Le Roeulx;50.50365, 4.11163
Roesbrugge-Haringe;50.9181, 2.62538
Retie;51.26652, 5.08242
Reningelst;50.81514, 2.77066
Relegem;50.89908, 4.27694
